# Результаты сопоставления станций метро ЦИАН ↔ БД
# Обработка дублирующихся названий станций с учетом line_id
# Пример: "Перово" на линии 9 → cian_id=90, на линии 36 → cian_id=474
# Автоматический выбор при разнице line_id ≤ 5 с предупреждением
# Ручное исправление: Зеленоград-Крюково (линия 36) → cian_id=455
line_id,name,cian_id,mapping_status
13,Боровское шоссе,365,Сопоставлено
13,Раменки,339,Сопоставлено
14,Тимирязевская,128,Сопоставлено
14,Савёловская,110,Сопоставлено
14,Лобня,407,Сопоставлено
14,Бескудниково,413,Сопоставлено
14,Рабочий посёлок,401,Сопоставлено
14,Славянский бульвар,229,Сопоставлено
14,Фили,142,Сопоставлено
14,Тестовская (Москва-Сити),,Не сопоставлено
14,Белорусская,15,Сопоставлено
14,Кунцевская,60,Сопоставлено
14,Беговая,14,Сопоставлено
14,Лианозово,534,Сопоставлено
14,Шереметьевская,383,Сопоставлено
14,Хлебниково,408,Сопоставлено
14,Водники,409,Сопоставлено
14,Новодачная,411,Сопоставлено
14,Марк,412,Сопоставлено
14,Дегунино,414,Сопоставлено
14,Сетунь,402,Сопоставлено
14,Немчиновка,403,Сопоставлено
14,Сколково,404,Сопоставлено
14,Одинцово,406,Сопоставлено
14,Окружная,296,Сопоставлено
14,Долгопрудная,410,Сопоставлено
14,Баковка,405,Сопоставлено
15,Тушинская,133,Сопоставлено
15,Красный Балтиец,423,Сопоставлено
15,Волоколамская,234,Сопоставлено
15,Курская,61,Сопоставлено
15,Щукинская,154,Сопоставлено
15,Нахабино,415,Сопоставлено
15,Аникеевка,416,Сопоставлено
15,Опалиха,417,Сопоставлено
15,Павшино,419,Сопоставлено
15,Пенягино,420,Сопоставлено
15,Трикотажная,421,Сопоставлено
15,Стрешнево,292,Сопоставлено
15,Гражданская,424,Сопоставлено
15,Москва-Товарная,425,Сопоставлено
15,Люблино,65,Сопоставлено
15,Текстильщики,126,Сопоставлено
15,Депо,428,Сопоставлено
15,Калитники,426,Сопоставлено
15,Перерва,429,Сопоставлено
15,Курьяново,439,Сопоставлено
15,Москворечье,430,Сопоставлено
15,Покровское,431,Сопоставлено
15,Бутово,437,Сопоставлено
15,Щербинка,434,Сопоставлено
15,Остафьево,438,Сопоставлено
15,Силикатная,435,Сопоставлено
15,Царицыно,144,Сопоставлено
15,Печатники,92,Сопоставлено
15,Площадь трёх вокзалов,441,Сопоставлено
15,Марьина Роща,236,Сопоставлено
15,Рижская,107,Сопоставлено
15,Красный Строитель,432,Сопоставлено
15,Дмитровская,37,Сопоставлено
15,Красногорская,418,Сопоставлено
15,Новохохловская,304,Сопоставлено
15,Битца,433,Сопоставлено
15,Подольск,436,Сопоставлено
16,Белокаменная,298,Сопоставлено
16,Измайлово,300,Сопоставлено
16,Окружная,296,Сопоставлено
16,Ростокино,297,Сопоставлено
16,Площадь Гагарина,309,Сопоставлено
16,Лихоборы,295,Сопоставлено
16,Владыкино,28,Сопоставлено
16,Кутузовская,62,Сопоставлено
16,Бульвар Рокоссовского,137,Сопоставлено
16,Верхние Котлы,307,Сопоставлено
16,Автозаводская,2,Сопоставлено
16,Коптево,294,Сопоставлено
16,Балтийская,293,Сопоставлено
16,Панфиловская,291,Сопоставлено
16,Зорге,290,Сопоставлено
16,Хорошёво,289,Сопоставлено
16,Шелепиха,311,Сопоставлено
16,Крымская,308,Сопоставлено
16,ЗИЛ,306,Сопоставлено
16,Дубровка,40,Сопоставлено
16,Угрешская,305,Сопоставлено
16,Нижегородская,303,Сопоставлено
16,Андроновка,302,Сопоставлено
16,Соколиная гора,301,Сопоставлено
16,Локомотив,299,Сопоставлено
16,Шоссе Энтузиастов,152,Сопоставлено
16,Москва-Сити,35,Сопоставлено
16,Ботанический сад,21,Сопоставлено
16,Стрешнево,292,Сопоставлено
16,Лужники,310,Сопоставлено
16,Новохохловская,304,Сопоставлено
